name,prefix,suffix,long,lat,level,id,huyen_id
Xã Tùng Ảnh,Xã,Tùng Ảnh,105.565042,18.534431,3,1772069,2597
Xã Thanh Quang,Xã,Thanh Quang,106.454684,20.841984,3,1772070,2598
Xã Yên Thành,Xã,Yên Thành,105.961589,20.403053,3,1772082,2610
Xã Yên Nội,Xã,Yên Nội,105.154095,21.469753,3,1772086,2614
Xã Thôm Mòn,Xã,Thôm Mòn,103.709028,21.42864,3,1772094,2622
Xã Thạch Văn,Xã,Thạch Văn,105.986243,18.347537,3,1772325,2853
Xã Nghi Xá,Xã,Nghi Xá,105.676011,18.812262,3,1772339,2867
Xã Nga Yên,Xã,Nga Yên,105.97333,20.012758,3,1772354,2882
Xã Văn Tố,Xã,Văn Tố,106.423247,20.802549,3,1772582,3110
Xã Phả Lễ,Xã,Phả Lễ,106.741812,20.919009,3,1772813,3341
Xã Thượng Sơn,Xã,Thượng Sơn,105.412254,18.870515,3,1772851,3379
Xã Tòng Bạt,Xã,Tòng Bạt,105.322263,21.195884,3,1773067,3595
Xã Tiên Phương,Xã,Tiên Phương,105.68584,20.941691,3,1773323,3851
Xã Vĩnh Long,Xã,Vĩnh Long,106.423775,20.707035,3,1773325,3853
Xã Tượng Sơn,Xã,Tượng Sơn,105.708496,19.563242,3,1773378,3906
Xã Quỳnh Thuận,Xã,Quỳnh Thuận,105.687766,19.097254,3,1773875,4403
Xã Thanh Ngọc,Xã,Thanh Ngọc,105.361485,18.781165,3,1774387,4915
Xã Quảng Trường,Xã,Quảng Trường,105.771238,19.650288,3,1774402,4930
Xã Thành Vinh,Xã,Thành Vinh,105.582389,20.241228,3,1774658,5186
Xã Quang Thành,Xã,Quang Thành,105.363305,19.046507,3,1774899,5427
Xã Thiệu Viên,Xã,Thiệu Viên,105.651279,19.869662,3,1774914,5442
Xã Vạn Thái,Xã,Vạn Thái,105.767988,20.715348,3,1775115,5643
Xã Xuân Lam,Xã,Xuân Lam,105.41384,19.925012,3,1775170,5698
Xã Văn Nhân,Xã,Văn Nhân,105.922771,20.770619,3,1775371,5899
Xã Thanh Sơn,Xã,Thanh Sơn,105.771304,19.573167,3,1775682,6210
Xã Thọ Tân,Xã,Thọ Tân,105.567699,19.83781,3,1775938,6466
Xã Yên Thọ,Xã,Yên Thọ,105.582624,20.041397,3,1776450,6978
Xã Văn Phú,Xã,Văn Phú,105.853942,20.867544,3,1777163,7691
Xã Phước Tân,Xã,Phước Tân,106.898956,10.887197,3,1835296,288
Xã Hoằng Lý,Xã,Hoằng Lý,105.795636,19.855817,3,1835330,322
Xã Tân Tiến,Xã,Tân Tiến,106.218952,20.62429,3,1835584,576
Xã Vĩnh Tiến,Xã,Vĩnh Tiến,105.452152,20.747776,3,1835816,808
Xã Hải Tân,Xã,Hải Tân,106.27094,20.132561,3,1835826,818
Xã Văn Khúc,Xã,Văn Khúc,105.146,21.350521,3,1835830,822
Xã Trung Trạch,Xã,Trung Trạch,106.536409,17.589353,3,1835832,824
Xã Vũ Bình,Xã,Vũ Bình,106.399713,20.347878,3,1835840,832
Xã Nam Phúc Thăng,Xã,Nam Phúc Thăng,106.035597,18.280051,3,1836069,1061
Xã Vô Tranh,Xã,Vô Tranh,104.96249,21.519846,3,1836086,1078
Xã Xuân Thủy,Xã,Xuân Thủy,106.781323,17.221129,3,1836088,1080
Xã Hoa Lư,Xã,Hoa Lư,106.280325,20.536413,3,1836096,1088
Xã Vạn Thọ,Xã,Vạn Thọ,105.657843,21.574608,3,1836097,1089
Xã Tân Sơn,Xã,Tân Sơn,106.629785,21.546527,3,1836307,1299
Xã Yên Nghiệp,Xã,Yên Nghiệp,105.530318,20.410182,3,1836328,1320
Xã Quỳnh Hưng,Xã,Quỳnh Hưng,106.334738,20.63305,3,1836352,1344
Xã Trung Yên,Xã,Trung Yên,105.434745,21.810871,3,1836358,1350
Xã Đại Sơn,Xã,Đại Sơn,106.799971,21.410422,3,1836563,1555
Xã Yên Kiện,Xã,Yên Kiện,105.189036,21.587936,3,1836598,1590
Xã Thụy Dũng,Xã,Thụy Dũng,106.576909,20.59977,3,1836608,1600
Xã Trung Sơn,Xã,Trung Sơn,105.422072,21.874552,3,1836614,1606
Xã Xuân Tình,Xã,Xuân Tình,106.847058,21.742396,3,1836847,1839
Xã Diễn Tân,Xã,Diễn Tân,105.578516,18.953286,3,1836851,1843
Xã Tây Giang,Xã,Tây Giang,106.500816,20.396474,3,1836864,1856
Xã Yên Bình,Xã,Yên Bình,105.519536,21.30413,3,1836872,1864
Xã Thạch Lương,Xã,Thạch Lương,104.512924,21.551137,3,1836873,1865
Xã Vũ Vân,Xã,Vũ Vân,106.362704,20.363424,3,1837120,2112
Xã Hoằng Sơn,Xã,Hoằng Sơn,105.839524,19.895929,3,1837122,2114
Xã Vĩnh Hòa,Xã,Vĩnh Hòa,106.385672,20.755024,3,1837350,2342
Xã Yên Hồ,Xã,Yên Hồ,105.649069,18.548009,3,1837605,2597
Xã Yên Thọ,Xã,Yên Thọ,105.955173,20.385463,3,1837618,2610
Xã Tòng Cọ,Xã,Tòng Cọ,103.777339,21.444614,3,1837630,2622
Xã Nghi Xuân,Xã,Nghi Xuân,105.73381,18.749231,3,1837875,2867
Xã Đại Sơn,Xã,Đại Sơn,106.366239,20.877726,3,1838118,3110
Xã Phù Ninh,Xã,Phù Ninh,106.599202,20.97644,3,1838349,3341
Xã Tràng Sơn,Xã,Tràng Sơn,105.295714,18.934191,3,1838387,3379
Xã Vân Hòa,Xã,Vân Hòa,105.423301,21.076051,3,1838603,3595
Xã Tốt Động,Xã,Tốt Động,105.671287,20.874599,3,1838859,3851
Xã Vĩnh Phong,Xã,Vĩnh Phong,106.48116,20.61096,3,1838861,3853
Xã Tượng Văn,Xã,Tượng Văn,105.731968,19.590388,3,1838914,3906
Xã Quỳnh Văn,Xã,Quỳnh Văn,105.67037,19.192588,3,1839411,4403
Xã Thanh Nho,Xã,Thanh Nho,105.22237,18.8418,3,1839923,4915
Xã Quảng Văn,Xã,Quảng Văn,105.737413,19.698228,3,1839938,4930
Xã Thành Yên,Xã,Thành Yên,105.588159,20.27628,3,1840194,5186
Xã Sơn Thành,Xã,Sơn Thành,105.483717,18.906846,3,1840435,5427
Xã Thiệu Vũ,Xã,Thiệu Vũ,105.617928,19.923727,3,1840450,5442
Xã Viên An,Xã,Viên An,105.728611,20.805551,3,1840651,5643
Xã Xuân Lập,Xã,Xuân Lập,105.526662,19.967187,3,1840706,5698
Xã Vân Từ,Xã,Vân Từ,105.889879,20.719488,3,1840907,5899
Xã Thanh Thủy,Xã,Thanh Thủy,105.764118,19.583167,3,1841218,6210
Xã Thọ Thế,Xã,Thọ Thế,105.575872,19.852674,3,1841474,6466
Xã Yên Trung,Xã,Yên Trung,105.563259,20.024155,3,1841986,6978
Xã Vân Tảo,Xã,Vân Tảo,105.89806,20.8655,3,1842699,7691
Xã Tam Phước,Xã,Tam Phước,106.923312,10.864296,3,1900832,288
Xã Hoằng Quang,Xã,Hoằng Quang,105.824322,19.811764,3,1900866,322
Xã Tây Đô,Xã,Tây Đô,106.286735,20.592081,3,1901120,576
Xã Hải Tây,Xã,Hải Tây,106.291657,20.144545,3,1901362,818
Xã Xương Thịnh,Xã,Xương Thịnh,105.104318,21.417733,3,1901366,822
Xã Vạn Trạch,Xã,Vạn Trạch,106.488622,17.604642,3,1901368,824
Xã Vũ Công,Xã,Vũ Công,106.399969,20.380573,3,1901376,832
Xã Yên Hòa,Xã,Yên Hòa,106.006042,18.302101,3,1901605,1061
Xã Vụ Cầu,Xã,Vụ Cầu,105.073237,21.490728,3,1901622,1078
Xã Hoa Nam,Xã,Hoa Nam,106.282161,20.519826,3,1901632,1088
Xã Văn Yên,Xã,Văn Yên,105.633984,21.565878,3,1901633,1089
Xã Thanh Hải,Xã,Thanh Hải,106.581208,21.401191,3,1901843,1299
Xã Yên Phú,Xã,Yên Phú,105.457939,20.489104,3,1901864,1320
Xã Quỳnh Khê,Xã,Quỳnh Khê,106.292323,20.669245,3,1901888,1344
Xã Tú Thịnh,Xã,Tú Thịnh,105.355506,21.711587,3,1901894,1350
Xã Thụy Dương,Xã,Thụy Dương,106.514879,20.567559,3,1902144,1600
Xã Trung Trực,Xã,Trung Trực,105.286502,21.956204,3,1902150,1606
Xã Sơn Tiến,Xã,Sơn Tiến,105.504593,18.577638,3,1902373,1829
Xã Yên Khoái,Xã,Yên Khoái,107.023854,21.81378,3,1902383,1839
Xã Diễn Thái,Xã,Diễn Thái,105.524774,19.009855,3,1902387,1843
Xã Tây Lương,Xã,Tây Lương,106.514106,20.436979,3,1902400,1856
Xã Yên Lập,Xã,Yên Lập,105.479476,21.293082,3,1902408,1864
Xã Thanh Lương,Xã,Thanh Lương,104.530719,21.568575,3,1902409,1865
Xã Vũ Vinh,Xã,Vũ Vinh,106.367816,20.393541,3,1902656,2112
Xã Hoằng Tân,Xã,Hoằng Tân,105.86353,19.78487,3,1902658,2114
Xã Thanh Bình Thịnh,Xã,Thanh Bình Thịnh,105.656168,18.497635,3,1903141,2597
Xã Yên Tiến,Xã,Yên Tiến,106.035898,20.298694,3,1903154,2610
