name,prefix,suffix,long,lat,level,id,tinh_id
Huyện Hải Lăng,Huyện,Hải Lăng,107.244,16.6907,2,1340,60
Huyện Kế Sách,Huyện,Kế Sách,105.985,9.76666,2,1341,61
Huyện Mường La,Huyện,Mường La,104.028,21.5175,2,1342,62
Huyện Gò Dầu,Huyện,Gò Dầu,106.266,11.0826,2,1343,63
Huyện Quỳnh Phụ,Huyện,Quỳnh Phụ,106.324,20.6548,2,1344,64
Huyện Đồng Hỷ,Huyện,Đồng Hỷ,105.845641,21.637295,2,1345,65
Huyện Cẩm Thủy,Huyện,Cẩm Thủy,105.476,20.2143,2,1346,66
Huyện Nam Đông,Huyện,Nam Đông,107.719,16.1636,2,1347,67
Huyện Châu Thành,Huyện,Châu Thành,106.342,10.4468,2,1348,68
Huyện Càng Long,Huyện,Càng Long,106.206,9.99616,2,1349,69
Huyện Sơn Dương,Huyện,Sơn Dương,105.401,21.6982,2,1350,70
Huyện Mang Thít,Huyện,Mang Thít,106.11,10.1738,2,1351,71
Huyện Tam Dương,Huyện,Tam Dương,105.541,21.3796,2,1352,72
Huyện Trấn Yên,Huyện,Trấn Yên,104.829,21.7527,2,1353,73
Quận Hoàng Mai,Quận,Hoàng Mai,105.849063,20.968078,2,1547,11
Quận 6,Quận,6,106.649469,10.746747,2,1548,12
Quận Ngô Quyền,Quận,Ngô Quyền,106.693516,20.861622,2,1549,13
Quận Thanh Khê,Quận,Thanh Khê,108.182212,16.067058,2,1550,14
Huyện Phong Điền,Huyện,Phong Điền,105.664062,10.000183,2,1551,15
Huyện Châu Thành,Huyện,Châu Thành,105.389,10.4432,2,1552,16
Huyện Đất Đỏ,Huyện,Đất Đỏ,107.27,10.488,2,1553,17
Huyện Phước Long,Huyện,Phước Long,105.46,9.4373,2,1554,18
Huyện Sơn Động,Huyện,Sơn Động,106.849,21.335,2,1555,19
Huyện Na Rì,Huyện,Na Rì,106.184,22.2371,2,1556,20
Huyện Tiên Du,Huyện,Tiên Du,106.019,21.1411,2,1557,21
Huyện Giồng Trôm,Huyện,Giồng Trôm,106.506,10.1534,2,1558,22
Huyện Dầu Tiếng,Huyện,Dầu Tiếng,106.367,11.2943,2,1559,23
Huyện Phù Cát,Huyện,Phù Cát,109.059,14.002,2,1560,24
Huyện Chơn Thành,Huyện,Chơn Thành,106.616,11.4168,2,1561,25
Huyện Hàm Thuận Nam,Huyện,Hàm Thuận Nam,107.879,10.8489,2,1562,26
Huyện Phú Tân,Huyện,Phú Tân,104.811,8.85819,2,1563,27
Huyện Hòa An,Huyện,Hòa An,106.156,22.7362,2,1564,28
Huyện Ea H'Leo,Huyện,Ea H'Leo,108.209,13.2054,2,1565,29
Huyện Đắk R'Lấp,Huyện,Đắk R'Lấp,107.512,11.9967,2,1566,30
Huyện Điện Biên,Huyện,Điện Biên,103.006168,21.287861,2,1567,31
Huyện Định Quán,Huyện,Định Quán,107.358,11.2025,2,1568,32
Huyện Hồng Ngự,Huyện,Hồng Ngự,105.247636,10.813073,2,1569,33
Huyện Chư Sê,Huyện,Chư Sê,108.076,13.6977,2,1570,34
Huyện Đồng Văn,Huyện,Đồng Văn,105.363,23.278,2,1571,35
Huyện Thanh Liêm,Huyện,Thanh Liêm,105.919,20.4993,2,1572,36
Huyện Hương Khê,Huyện,Hương Khê,105.7,18.175,2,1573,37
Huyện Gia Lộc,Huyện,Gia Lộc,106.3,20.8683,2,1574,38
Huyện Phụng Hiệp,Huyện,Phụng Hiệp,105.735,9.77902,2,1575,39
Huyện Lạc Thủy,Huyện,Lạc Thủy,105.777,20.491,2,1576,40
Huyện Phù Cừ,Huyện,Phù Cừ,106.178,20.7302,2,1577,41
Huyện Khánh Sơn,Huyện,Khánh Sơn,108.947,12.0057,2,1578,42
Huyện Giồng Riềng,Huyện,Giồng Riềng,105.314,9.90944,2,1579,43
Huyện Đắk Tô,Huyện,Đắk Tô,107.844,14.6483,2,1580,44
Huyện Tam Đường,Huyện,Tam Đường,103.623,22.3228,2,1581,45
Huyện Lâm Hà,Huyện,Lâm Hà,108.243,11.7889,2,1582,46
Huyện Hữu Lũng,Huyện,Hữu Lũng,106.345,21.5059,2,1583,47
Huyện Mường Khương,Huyện,Mường Khương,104.121,22.7616,2,1584,48
Huyện Châu Thành,Huyện,Châu Thành,106.467,10.4493,2,1585,49
Huyện Nghĩa Hưng,Huyện,Nghĩa Hưng,106.181,20.2169,2,1586,50
Huyện Con Cuông,Huyện,Con Cuông,104.883,19.0507,2,1587,51
Huyện Nho Quan,Huyện,Nho Quan,105.753,20.3223,2,1588,52
Huyện Thuận Bắc,Huyện,Thuận Bắc,109.073,11.7504,2,1589,53
Huyện Đoan Hùng,Huyện,Đoan Hùng,105.185,21.6241,2,1590,54
Huyện Sông Hinh,Huyện,Sông Hinh,108.897,12.9771,2,1591,55
